ticker,baseline,overnight,robustARMA,robust_overnight,robust_overnight_vix,overnight_vix,robust_vix
ABC,0.25885062569378253,0.27945528828274957,0.2639237803425562,0.2634375974213118,0.2550930019020099,0.2687963767327237,0.2695130939994165
PXD,0.2638908555477656,0.26131979814031997,0.25235682899935147,0.253391823817554,0.2494692833143789,0.2568811468488198,0.25570243631002626
ALLE,0.2708023657260926,0.2610082416991049,0.25049351374075063,0.2483523900800106,0.24387122575402256,0.25435918560704446,0.25718827760931146
CRWD,0.30303707453039597,0.3315874373537862,0.31262840089702437,0.31619447793274247,0.3093765652715165,0.32332419529877693,0.31884432057874024
LNT,0.23136865273284296,0.2385824296628156,0.2123965429226552,0.21177102396455777,0.2078499400584678,0.23363348162776068,0.23468815416185748
SGEN,0.2896509661789165,0.3057336213614298,0.2915800800669451,0.288527322851302,0.2805265764392124,0.29681523678726734,0.29653355504635937
LUMN,0.2699398759277723,0.27429792703696854,0.2533180302276721,0.2610322600786356,0.2562499742149554,0.2695704412375283,0.2594227614326701
DUK,0.21239742700504316,0.22008411604955572,0.20469983339649636,0.20589645277835156,0.20440240460987327,0.21773915149534012,0.2148312841275648
CSX,0.2204671011971711,0.23273536531968644,0.21832496488968967,0.22893414933288364,0.5115089745301783,0.5098577450062586,0.2196792324024534
NFLX,0.2611551786967799,0.31036066800907763,0.2903828912216544,0.28871598918345037,0.2829293641858614,0.30386703593226105,0.3062808548170033
EVBG,0.30717015566859823,0.3883467730199584,0.31157885455632495,0.3704576095639847,0.3879337055894665,0.4043582498735267,0.31535288964833186
CSGP,0.3037723634318376,0.321099942737409,0.2734932371960806,0.3185108466711463,0.3302194079841657,0.33295448503253317,0.27310106301421544
TOL,0.2778144448836236,0.3053531016875535,0.29181878526382105,0.2905624967107508,0.2809692545244433,0.2936379801630287,0.29528756643949244
VICI,0.2854915339652032,0.268437473411351,0.2698473914927702,0.2694773508473791,0.266846471137321,0.26512273081128007,0.2655355882650357
LEA,0.23870771923022568,0.26234099573922137,0.2516309855260375,0.2527643754777484,0.24754222860115394,0.25541010482699855,0.25465654641168955
WWD,0.3135284740452834,0.33613719978796364,0.3105971351859665,0.31296265156328346,0.30849852584281023,0.32964835927570096,0.3268246875008624
BRK.B,nan,nan,nan,nan,nan,nan,nan
PCG,0.3199686791332905,0.30876352066031876,0.30575444181346606,0.30575444181346606,0.30589524878001656,0.3089151237040701,0.3089151237040701
EMN,0.24479085344084944,0.2725698849805857,0.26878024745097295,0.2673715249439968,0.26165834242149877,0.2658453339510594,0.26269195081486374
MCHP,0.2572420570261227,0.279507649566482,0.2618075513952932,0.2732261366186017,0.3072271082228317,0.3109485217279315,0.2594189519924642
WTW,nan,nan,nan,nan,nan,nan,nan
HCA,0.22298297597612934,0.23166701341287974,0.22161130219017247,0.2198254840391372,0.21305049449532082,0.22363514087483388,0.22594248364000474
PEP,0.18794498204254562,0.18405026312218498,0.18325374100569067,0.18314427417232199,0.18109716774315618,0.18118976643839863,0.18120883750579928
BLDR,0.25662112822778266,0.2304045840689825,0.22782609972905046,0.22584699185148271,0.2242749189480609,0.22857480939200384,0.2322886696146648
EOG,0.251536977965647,0.25175610112017255,0.24786367473720375,0.24617991977905457,0.24126245867313317,0.24451009515035685,0.24526210036130808
GPK,0.3152586811392683,0.33614446632545286,0.3202289896465119,0.320660951526438,0.3175926069336385,0.33274808543810996,0.33103923685980097
LEN,0.23905929212301413,0.2680908613573443,0.2585897862572681,0.2566043699602703,0.2456686851201283,0.25640701468327964,0.2589234158137634
ANET,0.27546035638218036,0.9890333564382932,0.30709968603574106,0.954675359177257,1.0001937304261144,1.0342827598169069,0.31753803269367037
APH,0.24497020544446496,0.25114842204739224,0.23160191816407466,0.24737073045592126,0.25749250949271446,0.26077285956001933,0.23626689162390838
MRO,0.20739908268836904,0.21678467520416705,0.21140371471583466,0.2112790178970155,0.2099551096651393,0.21444522396742727,0.21379945277921517
RNR,0.26901882917756187,0.2517692311538674,0.2376788724005648,0.23927292909940515,0.23880023051836266,0.2509690571512576,0.2481764076903758
PEG,0.22954464039109093,0.24154608526855625,0.2330864783523949,0.23327731396568047,0.2291541502759574,0.23536649847322447,0.23535752829958032
G,0.33435296165739,0.34582195798680737,0.32421787542596675,0.324008747626506,0.31594947253572864,0.337058149755472,0.33467048287407486
FANG,0.2836358994061572,0.2865027748853276,0.27846822197702753,0.27724349967436007,0.27511800020412575,0.2840476214097837,0.27560023897056163
ISRG,0.21646222444683982,0.2388528238410045,0.22263279600009392,0.23587422172807115,0.2897100061919079,0.2911483448084909,0.2216983193569296
TRMB,0.2679849498370239,0.25779954951036954,0.24650725664522694,0.2429064389945551,0.23598180436899863,0.24869358479273798,0.25209355281484447
INCY,0.2619823028562099,0.2505027067896871,0.24640165930840927,0.24347918571441174,0.24048363166265355,0.24567695237582365,0.24882409127410413
BSY,0.37652094840798495,0.3588994935568296,0.34355571009742386,0.3470039479457536,0.3769988445486284,0.3918901942635376,0.3722426204135273
TFX,0.2867979836520191,0.2761637736243504,0.27093513514709483,0.26963574378798966,0.26652806437636506,0.2725132765905177,0.2732151831050105
EVRG,0.29423549666752447,0.3346674179951186,0.3179187197881919,0.31753217658922234,0.3124084659315628,0.328790411392558,0.3293774521185759
FLO,0.28354767284258525,0.2675934624675483,0.26470671571720833,0.26335871135883504,0.25834575508847535,0.2610340781817493,0.26267295951094216
PII,0.28990724226315195,0.28615054919731187,0.2735892513948598,0.2719678323818866,0.26046800389873276,0.27473969699036654,0.2762130375260082
ELS,0.2666278892691852,0.27930948693808855,0.2704263433291158,0.27075641571811837,0.26254393451526464,0.2703905791729712,0.27026769943824747
APA,0.20550273208343853,0.209016106334562,0.21226393049221598,0.2127054299773407,0.20856804237658197,0.2037997621124674,0.20306631534681813
OLN,0.2554929092863671,0.2998389408722635,0.2843883871085516,0.28176823791774475,0.27817494715431745,0.2964686786647605,0.2989415972670531
MCD,0.20491459097689185,0.21166960608048954,0.20426867278628247,0.20332769570238038,0.1982420754457893,0.20525471824281996,0.20681239102681856
PCTY,0.3000691306880915,0.33886231427889224,0.31424215296685726,0.3133479509516017,0.3030564828662551,0.32590731812783985,0.32649606724700847
CR,0.27028430613182564,0.28271711154343004,0.27848353295417955,0.2793621385345508,0.27259972359432955,0.27493160810132017,0.27298797729565016
ENSG,0.2784388137615164,0.2875072751758855,0.26668268836749165,0.2663483702423928,0.2585133629152078,0.2768908081048852,0.2777716953092147
STAR,0.3347739102611808,0.3266086400134063,0.29401807047183803,0.29303275984565036,0.29125828739263576,0.32495628656472847,0.3246729250363927
GME,0.45823529525745915,1.431788243912057,0.4255903247214135,1.4299461264413669,0.6960145483730833,0.7178011266344573,0.44602491707736136
EXTN,0.35263280747976755,0.3473814751790541,0.3344121563658052,0.33410686480865726,0.33589437942895767,0.34975482029773824,0.3494527428636524
SILK,0.3313807051796894,0.324994660760038,0.3166700842655838,0.3120447013471006,0.3081448259664519,0.3193091570771227,0.32392174042736444
ESE,0.3175975161956007,0.31063118521059313,0.30032949555373767,0.29943782833161176,0.29802347421625613,0.3091268558085518,0.30947427122453264
GCO,0.2917682959516092,0.33103980441547215,0.3123210734214187,0.31257193989437165,0.309658880048095,0.32707834527525553,0.32669043572649453
CRC,0.4175263771781355,0.4280205526732917,0.3799122267822143,0.37957784064304473,0.37879295055028456,0.42704855911318135,0.42755473717983106
RDUS,0.31044150697674594,0.35080200315273485,0.31932913462096396,0.3387496881565047,0.33658596069378194,0.3457394114354198,0.3244521457391129
HSKA,0.3620893419237206,0.37099208373634907,0.3447539468069969,0.3433183076086166,0.34419555685210224,0.37053491973157837,0.3677615334963685
VYGR,0.3767162339501137,0.329470213315518,0.3198912487134933,0.3178241538787094,0.3254895477869103,0.33745049862417315,0.3313322954518536
PWOD,0.6318001284270927,0.46898041281040986,0.4417400775709287,0.4443916642103606,0.4465036664095675,0.4715365992576932,0.4689134360100371
SR,0.28076339299038,0.26647236326259505,0.261555265408955,0.2608692792119186,0.25659668979136246,0.2610059257178975,0.2626819144420726
NATH,0.495448880984486,0.5249118986128608,0.5062969165729447,0.5056800065293413,0.49452101945728333,0.5125640820239162,0.513295240925808
CPRX,0.27810769014860615,0.3453458069856802,0.3020762631191513,0.30270370837154553,0.30083822595610193,0.3426483400176431,0.340612047041837
LLNW,0.2983816469264355,0.3098199522881117,0.3020986772722652,0.30170954478996853,0.3041360107549485,0.3125924027162802,0.3079322611275157
YCBD,0.43971476076058796,0.4869444050913779,0.4671798821811921,0.47703553203140775,0.47359718220846203,0.481994731435483,0.4751678679546998
NP,0.33199442074612795,0.3492276163516575,0.320232148171581,0.32083290894235544,0.3098590043970985,0.3348522929182419,0.3340060950624259
STOK,0.40119513394253253,0.39013307686858106,0.37868958197250413,0.3786358404188035,0.37199337509360175,0.38247969158301315,0.38236073662805115
HEES,0.3106685730726013,0.3341270627164153,0.3061590390846105,0.3101792587186619,0.30311188913326453,0.3250564523083168,0.31972710483194233
BHB,0.39643989635878657,0.40975459928692826,0.37525323626708484,0.37467728945485446,0.36671295520593566,0.3988922768632645,0.3982784298068457
TTI,0.33433646859476424,0.34199298495085684,0.33671615571081953,0.3331142504361961,0.3321436140831498,0.33925283341488266,0.3421768182557663
GCBC,1.228548126325237,0.7944889002465484,0.7303333744712156,0.7314566346175276,0.7251503248598391,0.7856980584209478,0.7822135427247358
STNG,0.2983859303994769,0.32053063655964253,0.29955385794132966,0.3028273249308061,0.30143210799428705,0.3195860450776686,0.3131071269894269
TRWH,nan,nan,nan,nan,nan,nan,nan
CHRA,0.5639279875636827,1.530197298765903,0.5038543475302542,1.4133078435587851,1.5126386783289387,1.6422345545410844,0.5011057876301298
FBM,0.3989989051004791,0.4145635193710114,0.42743154098688296,0.42743154098688296,0.42806029112329264,0.41511236767628473,0.41511236767628473
CHCO,0.25063548023108706,0.2559423518376566,0.23749822411369023,0.23752573491545398,0.23134285618711145,0.24799331100374547,0.24759439630336155
GEF,0.2685355057897024,0.288207339350864,0.2731426892633616,0.2733243833410319,0.2687810803215983,0.28247148910182074,0.2818035563284779
BSGM,0.4332308139989205,0.44205933676603193,0.43116696938359783,0.433113939524552,0.4308550932712385,0.4391160263198693,0.43503527442258266
PEBK,1.050737105873206,0.953599007671785,0.9268686188630603,0.9271743359636555,0.9214880480263192,0.9480609249323302,0.9475585014837409
SNR,0.374587470819102,0.3378985750467961,0.32834886862698315,0.3271120236768526,0.32669814589718577,0.3357829360899096,0.3373871806173112
CSLT,0.4135941877230541,0.3841798024137058,0.3752017907967822,0.3800887581388844,0.38869016644045973,0.3934619150772397,0.38731312929576023
FRBA,0.4490302493826258,0.42413724191850005,0.4214912348633337,0.42173920636018625,0.419532725998412,0.4200159554326298,0.4197206856276654
EBS,0.2899442428370463,0.2714595409867926,0.26803294648755316,0.2681758480986373,0.2683105012800277,0.2708393606371533,0.2687306610606624
HMTV,0.4764792690069394,0.4405053479990525,0.3867652232520859,0.3901437141103702,0.38605865488074576,0.4318202541305802,0.42142106240388544
TMDX,0.46266245425797153,0.3417798089428946,0.334561749107647,0.33344478935469823,0.4365706371890228,0.45244241190571927,0.3668533549352734
AIMT,nan,nan,nan,nan,nan,nan,nan
SONA,0.3445220398253952,0.29656295667711874,0.29700236181005946,0.2905402694290249,0.2908621434214744,0.2964459874511228,0.3035621727776946
ROAN,nan,nan,nan,nan,nan,nan,nan
AXGN,0.3464905109718921,0.4038609349450773,0.37787921725787954,0.38074607691857354,0.3797379639588625,0.4024482647058975,0.39451801143854465
BUSE,0.2811663753006185,0.26782028709087263,0.2542537760427053,0.2538080823351745,0.24988753414104983,0.2616012260049924,0.26200989121427415
MIK,0.3700932249035402,0.3307228757109139,0.3329722175604502,0.330434611450017,0.3300025144870557,0.3323713821338487,0.33445691135818156
LBC,0.4178025256442051,0.4263657816062373,0.3839540991536667,0.3818981138576278,0.37415783751978554,0.41431773981869613,0.41640380931082105
SGMO,0.26041826857399275,0.28865146270880015,0.2695332292278411,0.2701228368425688,0.26798108161238465,0.2846812756281298,0.279342295719577
SGRY,0.30015873925480935,0.3186195500023975,0.3048420870491355,0.30901284281153607,0.3029068887950319,0.3116325853103424,0.30442313083277933
FDBC,0.6175210863189843,0.6131326094800967,0.5871598765546961,0.5872394089875047,0.5709752849298209,0.5948507824419057,0.5950430150402451
STC,0.27206015937414263,0.2931461182071207,0.27930865934227594,0.27736838769555444,0.27365822132750367,0.28896760018794454,0.2891443320539032
TH,0.48721350046099926,0.4834090247872537,0.4681200864774936,0.4737430386994506,0.48007068025632355,0.4906211626243343,0.4813536284266271
UUUU,0.30289049637163695,0.27389884419533855,0.26780238589889366,0.2718701375030534,0.2790416212116774,0.2816238208646446,0.2734830179649665
VC,0.2830166213426334,0.32191061968557544,0.3035955845947477,0.30489039970634724,0.30311791036475144,0.3193087682254493,0.31756136073454816
RUBI,nan,nan,nan,nan,nan,nan,nan
VGR,0.30466003744099207,0.33177398294963095,0.31032768989471643,0.30921491478445035,0.30685455182340066,0.3280618302808323,0.3285661752924217
AYR,nan,nan,nan,nan,nan,nan,nan
FISI,0.32011610955650793,0.32379707960730003,0.3069238656615229,0.3065745086225753,0.301790650777,0.317420754905463,0.3181569751015045
UMBF,0.2831431102653295,0.2829917767282992,0.2597411285396315,0.2587064075279219,0.25179813256431327,0.2732011913494335,0.27160897422609265
JOE,0.2958861300405313,0.30535773395666443,0.28902926542131047,0.28644275178645945,0.28461141077666263,0.3028276656630668,0.3050641094258048
SBCF,0.3102718704649333,0.3015109022267714,0.28770215709464314,0.2852591865300344,0.2761929146678767,0.2896777101958176,0.29213178490491626
FLXS,0.3752720570961318,0.3863615742307341,0.3656134624142105,0.3656385026205169,0.36408328144746926,0.3844489448823812,0.38169965516262866
YRCW,0.3786244972665315,0.3805421175974277,0.40664267017295885,0.3941133506513568,0.3966628416242888,0.3852364666528136,0.3990281154636887
CARA,0.3196011562982864,0.3111642896940687,0.28547647671097165,0.3120784656979254,0.34163757581891796,0.3432158361339759,0.28264442226546055
APPF,0.32911458851000536,0.3284529447183162,0.31507670186026593,0.3138453802376188,0.3065584800227497,0.3211544010675006,0.31943482307712456
GPRO,0.3155367417779665,0.33650698435649623,0.3292742794809659,0.32877123918489665,0.33567567869021314,0.34356440484795026,0.33673500191928274
KRA,0.35985680657134933,0.36012517878108885,0.3490992739741032,0.3487283570075759,0.34107787065451667,0.3509212687813415,0.35004502715790947
PTCT,0.3261063938331303,0.3629764149998695,0.34433511325721294,0.34629283343958484,0.3442304143259081,0.3599586828828227,0.35359877240501675
RECN,nan,nan,nan,nan,nan,nan,nan
OSW,0.44967581779828886,0.48577299298621,0.4559714858866001,0.45497669514461764,0.4438548349011536,0.4732293090437776,0.47544668562070813
DHT,0.27761076754900105,0.2745047906119948,0.27705894689566024,0.2743081508915929,0.27432006531525993,0.2735710632941039,0.2749160149618688
MOV,0.32730605998073664,0.36322961119700276,0.3420687687631417,0.3404115040662908,0.33183416731316945,0.3541147054086817,0.3564350942117878
SFL,0.23315778852471197,0.22624882950227906,0.2220520531591776,0.2213852454738378,0.22217560644134296,0.22789777914589956,0.22729509577812498
HSII,0.322743383398358,0.32110280954221,0.30259687045862477,0.30117325533631034,0.2935729292920517,0.30947693932113196,0.3096901509799977
EROS,nan,nan,nan,nan,nan,nan,nan
MUSA,0.2586323258452685,0.2884223302616534,0.2737266835584038,0.27529589573169283,0.2717405271385891,0.28373410785795933,0.27875778939956536
MCRB,0.3273753438688253,0.30135289722771547,0.29015241507438966,0.29315472323205566,0.29626641697502326,0.30515629890635854,0.2985956914428444
EVRI,0.3235017984855329,0.33933542817238876,0.3166594366167813,0.3138255386448429,0.3036977737600571,0.32751357687469485,0.3331075238697162
KRUS,0.4187827105522362,0.4552713220570028,0.4395241608150523,0.44244376621603104,0.4381564941562007,0.4488145499922789,0.4387888396598607
NXRT,0.2656350191273765,0.28048447349211386,0.2578131003202758,0.25824462032657247,0.25127965079280135,0.27171955289709093,0.2710353506949021
NBHC,0.2961222249597587,0.3022295110405272,0.29413468949261296,0.2937526619390613,0.28983689410503904,0.29659191359704434,0.29668288739703286
PRK,0.35109293730232605,0.4027717065311298,0.36455959696051543,0.3643944244915518,0.3554352744280227,0.39111119641142533,0.38597730303826966
RGEN,0.29533404715549527,0.30452061608755343,0.29927761935432917,0.2981466554059167,0.2933645403754942,0.29725189484309755,0.2984609201857606
CBMG,0.5082845151120513,0.532294952360929,0.5442087808537045,0.5426447469041689,0.5453074118434954,0.53626771254741,0.5377388415600304
EZPW,0.3460528053399566,0.3690385851038467,0.36281373979524645,0.35751054631268836,0.3494554518304805,0.3590746661967333,0.3648924940960365
AMSC,0.34883355926486115,0.3272284566049457,0.3171896897842984,0.31601665499268605,0.3248911229016452,0.33523103444090785,0.3283892297546983
ARA,1.01962119551521,1.0576743713903716,1.075607455619469,1.075607455619469,1.0791967042221018,1.0612521344911094,1.0612521344911094
MC,0.24492188386852515,0.2744457340621011,0.26600058650206787,0.2663903040188519,0.25705222744636064,0.26412002058389394,0.26100181110817394
QADA,0.4424513576843332,0.3987635179038422,0.3825680488684481,0.38059565983569343,0.37817202007092976,0.3965006442910953,0.3997309745965549
ETM,0.30411778253912036,0.2795520317494202,0.2811880486066686,0.27302105848754366,0.26840293200218523,0.27491996356930976,0.28759642354728204
AGM,0.29091192989103415,0.31092970517300617,0.2922524824296403,0.29257028310255,0.2869129982582887,0.3029421399949031,0.30167169710478214
ANH,0.3297553546946012,0.30525981243408484,0.31351414099971864,0.31351414099971864,0.3144666659635959,0.30745648608199333,0.30745648608199333
BIG,0.27740250439963443,0.3530124065554859,0.30855796045844114,0.30905561803008325,0.2984794238362558,0.3386230295144408,0.3355950289837329
CHMA,0.40761320353200153,0.39854106716793136,0.337790365663672,0.3624354251181396,0.36955870268399205,0.4072292668928153,0.3740114461933321
JOUT,0.33227041899912557,0.375841345535651,0.3614613502120204,0.36350784088833865,0.35993786172016035,0.3718363183291197,0.36700645375061974
BWFG,0.5869639039750821,0.5395084080364888,0.5073089919105515,0.5081465474997782,0.5054980527419817,0.5346331500227578,0.5318206460922704
XBIT,0.3663382890103048,0.4076641205235237,0.3673184438810715,0.37180595459479,0.3769115192702153,0.4142697904896418,0.4068175105634208
STXB,0.5183807111680985,0.4045228739653761,0.398105460354698,0.398446313110099,0.39217263608707564,0.39622381010411034,0.39403518939668747
DOC,0.23085360085732204,0.2264260446638954,0.21857425662175614,0.21832820857355845,0.21448120911024643,0.221742587256195,0.2222840551798162
NX,0.30435271898536326,0.3061210208448053,0.2762441313423928,0.2747622763650683,0.27115594489714423,0.30198228682368095,0.3044333511949018
HUD,nan,nan,nan,nan,nan,nan,nan
OPTN,0.40702091183687367,0.41067406060117295,0.38020829217467067,0.3827792374765718,0.3807783452163352,0.40800280638139597,0.40301187658021587
AMAL,0.4238033160047273,0.42081292161616096,0.38701675718306827,0.38896524688325324,0.3815262272111205,0.40940813384591845,0.4076797045580494
